env_steps,mean_reward,std_reward
98304,0.0013762204626606505,0.004537786594781818
196608,0.0036663639347534627,0.009706915476505724
294912,0.010748093740839976,0.029978094167221782
393216,0.01683722597139422,0.04141622722368021
491520,0.01765084132377524,0.03768586661784758
589824,0.01235653736803215,0.031245232752485346
688128,0.03734745022258721,0.0829267273615609
786432,0.031939392142812724,0.06703601355710695
884736,0.045770319551229476,0.08882855549979674
983040,0.03965025455356226,0.06878092861908419
1081344,0.06367289047164376,0.13490953875340597
1179648,0.08160287275386509,0.1369204029217789
1277952,0.04545084500394296,0.06841199108038169
1376256,0.08753006863815244,0.15812831867932575
1474560,0.09388789821183309,0.1564728894463656
1572864,0.1397860272671096,0.21723326477368676
1671168,0.12491330242832191,0.20074564877430204
1769472,0.12305687527288683,0.20327579780457647
1867776,0.17859999205335042,0.2545964265581097
1966080,0.14322432930814102,0.2227802613689923
2064384,0.17497560444986449,0.2568492142924232
2162688,0.20553917468292637,0.2677647412098724
2260992,0.16320109892636536,0.207245903827885
2359296,0.19562959833565402,0.27143053669224576
2457600,0.23273733631707727,0.31549059273300534
2555904,0.24127435163594782,0.3013095122854702
2654208,0.2268618959072046,0.26619713244564636
2752512,0.2504315840394702,0.31763646170927884
2850816,0.34522957599838267,0.41514385120845193
2949120,0.3404129896897939,0.3628751346441161
3047424,0.3537504622130655,0.32280737746122634
3145728,0.34691704873228446,0.41051663870903204
3244032,0.3582782801706344,0.35342364882678845
3342336,0.35969814328476785,0.3551355494743703
3440640,0.45127337920479477,0.4583552540726906
3538944,0.45797302059829237,0.39244007974190986
3637248,0.44956343933008613,0.39286216391911827
3735552,0.4515698376297951,0.4452209359180123
3833856,0.4955098223127425,0.4200827536422467
3932160,0.5199869746249169,0.4538283093900226
4030464,0.48827016152907166,0.43652396026269763
4128768,0.6018703949684278,0.588232553318801
4227072,0.46378854839596895,0.4149654707582611
4325376,0.6249810677953065,0.5682651521294576
4423680,0.5388387421937659,0.5352434082261525
4521984,0.48508030191063883,0.4726509684317905
4620288,0.5631643128488213,0.5596243316183588
4718592,0.4838011588389054,0.4647550850419164
4816896,0.5303746827365831,0.6623889154369567
4915200,0.5970777613203972,0.6083707344617617
5013504,0.5994503538776189,0.6634955486008568
5111808,0.5199791344441473,0.5154443729341781
5210112,0.6732731511443854,0.7278068417267937
5308416,0.6129151873197407,0.7230993726281947
5406720,0.544945984040387,0.5590057731646165
5505024,0.5825221676845104,0.6730351660225925
5603328,0.741799427671358,0.771644540680346
5701632,0.7570008029183373,0.811756395322192
5799936,0.8159199977759272,0.8544994687118973
5898240,0.8501256099017337,0.7313274764621819
5996544,0.9703860137378797,0.8703061913454833
6094848,0.8567475151875987,0.7880754804684421
6193152,0.8106650660932064,0.737361747775114
6291456,0.8965067461505533,0.7962956229141342
6389760,1.0618210033141076,0.9052067687879309
6488064,1.0362512813694775,0.8658824457521399
6586368,0.8746672734851018,0.7922105321625272
6684672,0.9221435970626771,0.8362302996486447
6782976,1.0818194531276821,0.8953421611437872
6881280,1.009287191745825,0.877731706958547
6979584,1.091201006458141,0.9784792323520737
7077888,0.9593642612802796,0.8758445161854537
7176192,1.238725592168048,0.8989644558778065
7274496,1.2676561901718377,0.9030649201313773
7372800,1.2937432075291873,1.0994568578314134
7471104,1.1876937192678452,1.0607065476496145
7569408,1.1991842982498928,0.9842682400294868
7667712,1.4777292761160061,1.0812253798308407
7766016,1.1220379842817783,0.8565162253392362
7864320,1.2975455750897527,0.9838557222102398
7962624,1.274319487772882,0.9323991733603021
8060928,1.515148194329813,1.0153712643559474
8159232,1.2987362544983625,1.0800883379218316
8257536,1.5683520357310772,1.0336126620861803
8355840,1.4414186860062181,1.0717377621109017
8454144,1.5074258184432983,1.124232152680349
8552448,1.4386831952631474,1.0418883291911232
8650752,1.774532851651311,1.1699174755501125
8749056,1.709664735198021,1.1996850032825845
8847360,1.9345263359323144,1.4339730750598398
8945664,1.692446074858308,1.0864574515665595
