env_steps,mean_reward,std_reward,success_rate
98304,0.001119100886915641,0.0043576689843784246,nan
196608,0.004874596428126096,0.01202575648987694,0.004756432492285967
294912,0.010790999764576554,0.023999517250794515,0.004272995982319117
393216,0.015997312127728945,0.03493447858864872,0.0050368644297122955
491520,0.015752228850324172,0.036137879993834915,0.0029061788227409124
589824,0.013373331494512967,0.033626578223914246,0.0010833896230906248
688128,0.042891162770392836,0.1032795200612396,0.007398172747343779
786432,0.02958989759485121,0.06268396093424058,0.005205454304814339
884736,0.02958514777768869,0.060530416659284485,0.003012225963175297
983040,0.04655213788166293,0.11059175083728925,0.003502472070977092
1081344,0.054247788673965264,0.09631209683642197,0.004226910416036844
1179648,0.05296990525501315,0.08981090915078352,0.002769631100818515
1277952,0.046389526726852634,0.07219974327508435,0.0030807405710220337
1376256,0.05111896691087168,0.0958056838771942,0.005452245473861694
1474560,0.06175590699887835,0.11709323791587754,0.00366431986913085
1572864,0.07256352712807711,0.10684432847094388,0.00499650789424777
1671168,0.1092789134697523,0.14199927024454262,0.0052189938724040985
1769472,0.1279844437268912,0.1827170783151281,0.004466076847165823
1867776,0.12241403149440884,0.1623000054718009,0.0039470382034778595
1966080,0.13745379176369169,0.19763320286589084,0.006072727497667074
2064384,0.12763365680817515,0.15004612731668207,0.003914612345397472
2162688,0.13180014556855896,0.1798753071780903,0.004727419465780258
2260992,0.14308715926948934,0.17781422329293167,0.004536482505500317
2359296,0.13332276510773228,0.19367957057332852,0.0038173242937773466
2457600,0.16987718150718137,0.1979053575688622,0.00365815544500947
2555904,0.2026670005475171,0.21825396826292226,0.0040225256234407425
2654208,0.15453535978565924,0.20341381899357083,0.0051193078979849815
2752512,0.2106600902089849,0.23500674954236483,0.005468591116368771
2850816,0.18949795212596654,0.22190119663809096,0.004789577331393957
2949120,0.24786847326671704,0.24856009275812185,0.006002334412187338
3047424,0.20716081453254445,0.2694485486387464,0.002927738009020686
3145728,0.21096564491512254,0.2486176039381927,0.0030909436754882336
3244032,0.2663325245724991,0.28370695454081923,0.0035522724501788616
3342336,0.24288259186781944,0.2557783853884266,0.004511204082518816
3440640,0.2988116317242384,0.3009400371564278,0.0036622066982090473
3538944,0.31030306092463433,0.33678600524607893,0.004484756849706173
3637248,0.26271349885500966,0.25500041239598453,0.005222279112786055
3735552,0.2869866189453751,0.27378629424559,0.0028214333578944206
3833856,0.35517628719098865,0.33004235391592096,0.0038129203021526337
3932160,0.2972843218175694,0.26238684077881375,0.003368145553395152
4030464,0.35961541344877335,0.32635036921628013,0.003783752676099539
4128768,0.3841345776803792,0.33313713814395396,0.0038222353905439377
4227072,0.36712719125673177,0.4079961391890214,0.004066110588610172
4325376,0.46529591211583465,0.48381752276362144,0.00519759114831686
4423680,0.4515855168947019,0.38444549745626105,0.005505011882632971
4521984,0.45239884216338394,0.4170208020965227,0.004840121604502201
4620288,0.46502512572333216,0.4299906480809431,0.004529466386884451
4718592,0.4346113653411157,0.4076727318750881,0.0026837531477212906
4816896,0.5068599441833794,0.4122412171520606,0.005082658492028713
4915200,0.4618096901942044,0.45663733209040136,0.004637105390429497
5013504,0.47997945655370133,0.4506160263175261,0.004562134388834238
5111808,0.4933635642239824,0.45322588658223084,0.003085974371060729
5210112,0.502538998099044,0.4487890565632172,0.0038633584044873714
5308416,0.6463257856480777,0.586776890996673,0.007955065928399563
5406720,0.615438305484131,0.60465636278408,0.004746954422444105
5505024,0.5928585905977525,0.4725849980433682,0.0059969378635287285
5603328,0.611562201809138,0.5321308318079212,0.007352801971137524
5701632,0.6793389416765422,0.5865521656167174,0.0068757361732423306
5799936,0.6908135820971801,0.5564015339685197,0.005796858575195074
5898240,0.7412403978593648,0.616002367309666,0.007506251335144043
5996544,0.7321103545278311,0.6612840138213916,0.0057792156003415585
6094848,0.6471653532097116,0.6242526059963668,0.005789215676486492
6193152,0.8081697861477732,0.6671083121126099,0.007646809797734022
6291456,0.77300462895073,0.5866269861202297,0.005476061254739761
6389760,0.7599808881804347,0.6290688962833877,0.005133631639182568
6488064,0.7403797445818782,0.6365715135912847,0.004357021301984787
6586368,0.7021414874959737,0.5603024584940216,0.004968518856912851
6684672,0.8952548615005799,0.7851950714165582,0.007747815456241369
6782976,0.908353197388351,0.6572470986274725,0.00625877920538187
6881280,0.8845008288929239,0.6662064376956676,0.007666704244911671
6979584,0.9084832410886884,0.6648043161289806,0.006584049668163061
7077888,0.9840902668237687,0.7193245907318674,0.008266503922641277
7176192,1.0962409951724112,0.773475700193522,0.008519071154296398
7274496,0.9677846855530515,0.7258776035869914,0.007760263048112392
7372800,1.0315727968933062,0.8091556538825179,0.00716760940849781
7471104,0.9389859316166258,0.7607232197312477,0.00706877838820219
7569408,0.9208152006793534,0.6810364168185457,0.009022234007716179
7667712,1.0764234374091028,0.8351303346758342,0.008476205170154572
7766016,1.0892573701031507,0.7794794780734352,0.009311041794717312
7864320,1.317746885959059,0.914809826469612,0.011657675728201866
7962624,1.2179395496845244,0.9020347166305878,0.009058638475835323
8060928,1.284208924844861,0.8681442007639047,0.012153660878539085
8159232,1.1360535350162535,0.8856766443125037,0.008069764822721481
8257536,1.3357851554453373,0.9653358955360073,0.011833813041448593
8355840,1.228412390705198,0.9254296518785389,0.01084885373711586
8454144,1.233584725977853,0.8858379144023752,0.008707137778401375
8552448,1.0455246430030092,0.7347849100107738,0.00833138171583414
8650752,1.298521665930748,0.8620700325459691,0.011951150372624397
8749056,1.4014415737614037,0.9873941914039757,0.013297490775585175
8847360,1.5305520605295897,0.9158082897162149,0.013869764283299446
8945664,1.370081305578351,0.9567954931577929,0.010982461273670197
9043968,1.665682578906417,0.9316759856618778,0.014696722850203514
9142272,1.5154506085813046,1.155485012343896,0.01851874403655529
9240576,1.49877878382802,0.9807362843404624,0.011019083671271801
9338880,1.4227212443947792,0.9202267097149073,0.012393273413181305
9437184,1.7060729216784238,1.4394348375482413,0.013993228785693645
9535488,1.6531113155931234,1.2731928028062658,0.017839856445789337
9633792,1.495540374815464,1.1545520363819328,0.01512543112039566
9732096,1.556308258958161,1.111214572458305,0.014431467279791832
9830400,1.520905696451664,1.0394251340630205,0.01594267040491104
9928704,1.673288727104664,1.0721079227871988,0.012410517781972885
10027008,1.554943366497755,0.9217688656673548,0.011425167322158813
10125312,1.937087464481592,1.0889734162658267,0.01835666596889496
10223616,1.7216580504365266,1.1660762159155693,0.018752191215753555
10321920,1.8365633010864257,1.2944042089685603,0.01602286472916603
10420224,1.9219522649049758,1.202487944414144,0.014103187248110771
10518528,1.9054598809313028,1.331823520790898,0.015002867206931114
10616832,1.8786625811830162,1.2631210801081076,0.020556708797812462
10715136,1.9725079560279846,1.121082923422292,0.015684224665164948
10813440,2.1677038238942625,1.3012678825757393,0.019665177911520004
10911744,1.940325569100678,1.3434431165998484,0.019249387085437775
11010048,2.073676878660917,1.3162363768126688,0.02512308582663536
11108352,2.1512213661521673,1.2298770325056199,0.019063211977481842
11206656,1.9923687912640162,1.1879532078955677,0.018055986613035202
11304960,1.9898350394144655,1.3965458968349327,0.01930963806807995
11403264,2.2884050158411267,1.3280586204279445,0.021040335297584534
11501568,2.2161687310039997,1.2950240989104131,0.018536698073148727
11599872,2.0251002122461794,1.4307637093759262,0.020246798172593117
11698176,2.1634302305430175,1.4570830071197027,0.019751738756895065
11796480,2.1790451519936322,1.3080473595672957,0.02063405141234398
11894784,2.294276563823223,1.3483899418918859,0.01960044912993908
11993088,2.355438448935747,1.4623547080215598,0.02175164967775345
12091392,2.6584509489126504,1.578183211179616,0.025865662842988968
12189696,2.76385548889637,1.7012460701866026,0.031059667468070984
12288000,2.9600089125800877,1.5305531677469892,0.033191852271556854
12386304,2.88725513741374,1.471489940503262,0.03346526250243187
12484608,3.0387520288303493,1.7159977917265823,0.02908703312277794
12582912,3.200892568230629,1.7051652561067683,0.040236517786979675
12681216,2.855884930193424,1.4384064065322717,0.028917279094457626
12779520,3.0241400209628044,1.5923977813062502,0.03383646160364151
12877824,3.2408908025920393,1.628635150385995,0.0351002998650074
12976128,3.5858467477560043,1.8130760996361779,0.04295595735311508
13074432,3.42453568585217,1.8507234959631735,0.037383656948804855
13172736,3.4852484887838364,1.6188145968014993,0.038295745849609375
13271040,3.382683433890343,1.7195650242127218,0.03877503424882889
13369344,3.676224992275238,1.8360947306594353,0.05003489553928375
13467648,3.291056727990508,1.7054566117189265,0.03519587218761444
13565952,3.4345959864556788,1.7703567390183852,0.03801947087049484
13664256,3.695727837830782,1.7190964828711617,0.043200716376304626
13762560,3.923445801436901,2.0176200168589986,0.040337298065423965
13860864,4.161408042535186,1.8291624219492515,0.051034361124038696
13959168,4.192569678574801,1.705150776488684,0.05010315775871277
14057472,4.133530331254005,1.786096192220744,0.05681750178337097
14155776,4.0001573514938356,1.669919673000717,0.04300248622894287
14254080,4.569893422778696,1.9138358116122407,0.0533088743686676
14352384,4.436813583076,2.0493433424372736,0.050441764295101166
14450688,4.575679479241371,1.865054622440684,0.05290810391306877
14548992,4.401687236130238,1.8429235902777357,0.051775574684143066
14647296,4.796891434639693,2.1972685838891888,0.061469316482543945
